genre	movie	year	score	people
豆瓣电影标签：爱情	"
                        喜欢你
                        / 喜欢·你 / 男人使用手册
"	2017	7	115845
豆瓣电影标签：爱情	"
                        春娇救志明
                        / 志明与春娇3 / Love off the cuff
"	2017	7.3	87684
豆瓣电影标签：爱情	"
                        明日的我与昨日的你约会
                        / 明天，我要和昨天的你约会(台) / 明天，我和昨天的你约会
"	2016	7.5	12359
豆瓣电影标签：爱情	"
                        泰坦尼克号
                        / 铁达尼号(港/台)
"	1998	9.2	637405
豆瓣电影标签：爱情	"
                        原谅他77次
                        / 77 Heartbreaks
"	2017	7	8252
豆瓣电影标签：爱情	"
                        这个杀手不太冷
                        / 杀手莱昂 / 终极追杀令(台)
"	1994	9.4	810566
豆瓣电影标签：爱情	"
                        怦然心动
                        / 萌动青春 / 青春萌动
"	2010	8.9	529186
豆瓣电影标签：爱情	"
                        夏至未至
                        / Rush to the Dead Summer / Love Till the End of Summer
"	2017	4.3	22442
豆瓣电影标签：爱情	"
                        楚乔传
                        / 特工皇妃楚乔传 / 11处特工皇妃
"	2017	5.6	40552
豆瓣电影标签：爱情	"
                        爱乐之城
                        / 星声梦里人(港) / 乐来越爱你(台)
"	2017	8.3	300503
豆瓣电影标签：爱情	"
                        与君相恋100次
                        / 和你的第100次恋爱 / 与你的100次恋爱
"	2017	6.4	10577
豆瓣电影标签：爱情	"
                        你的名字。
                        / 你的名字 / 君之名
"	2016	8.5	365765
豆瓣电影标签：爱情	"
                        欢乐颂2
                        / 欢乐颂第二季 / 欢乐颂第二部
"	2017	5.3	51039
豆瓣电影标签：爱情	"
                        美女与野兽
                    "	2017	7.2	140832
豆瓣电影标签：爱情	"
                        大话西游之大圣娶亲
                        / 西游记完结篇仙履奇缘 / 齐天大圣西游记
"	2017	9.2	475595
豆瓣电影标签：爱情	"
                        霸王别姬
                        / 再见，我的妾 / Farewell My Concubine
"	1993	9.5	605651
豆瓣电影标签：爱情	"
                        傲娇与偏见
                        / Mr. Pride vs Miss Prejudice
"	2017	5.1	17324
豆瓣电影标签：爱情	"
                        三流之路
                        / 我的打架之路 / 三流人生
"	2017	8.5	10432
豆瓣电影标签：爱情	"
                        美丽人生
                        / 一个快乐的传说(港) / Life Is Beautiful
"	1997	9.5	403765
豆瓣电影标签：爱情	"
                        情书
                        / When I Close My Eyes / Letters of Love
"	1995	8.8	362668
豆瓣电影标签：爱情	"
                        我的前半生
                        / The First Half of My Life
"	2017	7.2	26109
豆瓣电影标签：爱情	"
                        花间提壶方大厨
                    "	2017	8.1	18569
豆瓣电影标签：爱情	"
                        剪刀手爱德华
                        / 幻海奇缘(港) / 剪刀手爱德华
"	1990	8.7	469208
豆瓣电影标签：爱情	"
                        反转人生
                        / Wished
"	2017	5.5	14061
豆瓣电影标签：爱情	"
                        罗马假日
                        / 金枝玉叶(港) / 罗马假期(台)
"	1953	8.9	377603
豆瓣电影标签：爱情	"
                        恋恋笔记本
                        / 深情日记 / 写我情真
"	2004	8.5	265191
豆瓣电影标签：爱情	"
                        龙珠传奇之无间道
                        / 龙珠传奇
"	2017	5	7743
豆瓣电影标签：爱情	"
                        上古情歌
                        / 曾许诺 / 一世情长
"	2017	4.1	6761
豆瓣电影标签：爱情	"
                        爱在黎明破晓前
                        / 情留半天(港) / 爱在黎明破晓时(台)
"	1995	8.7	208851
豆瓣电影标签：爱情	"
                        时空恋旅人
                        / 时空旅恋人 / 回到最爱的一天(港)
"	2013	8.6	181457
豆瓣电影标签：爱情	"
                        机器人总动员
                        / 瓦力(台) / 太空奇兵·威E(港)
"	2008	9.3	489010
豆瓣电影标签：爱情	"
                        傲慢与偏见
                        / 傲慢与偏见2005 / Pride And Prejudice
"	2005	8.4	283847
豆瓣电影标签：爱情	"
                        大话西游之月光宝盒
                        / 西游记101回月光宝盒 / 齐天大圣东游记
"	2014	8.9	385381
豆瓣电影标签：爱情	"
                        重庆森林
                        / Chungking Express
"	1994	8.6	312996
豆瓣电影标签：爱情	"
                        李雷和韩梅梅
                        / 李雷和韩梅梅之昨日重现 / How Are You
"	2017	3	10947
豆瓣电影标签：爱情	"
                        天使爱美丽
                        / 艾蜜莉的异想世界(台) / 天使艾米莉
"	2001	8.7	469514
豆瓣电影标签：爱情	"
                        乱世佳人
                        / 飘
"	1940	9.2	265761
豆瓣电影标签：爱情	"
                        假如爱有天意
                        / 不可不信缘 / 缘起不灭
"	2003	8.2	218005
豆瓣电影标签：爱情	"
                        初恋这件小事
                        / 初恋那件小事(港) / 暗恋那点小事
"	2012	8.2	427026
豆瓣电影标签：爱情	"
                        七月与安生
                        / SoulMate
"	2016	7.6	239242
豆瓣电影标签：爱情	"
                        志明与春娇
                        / 谈恋爱 / Love in a Puff
"	2010	8	315106
豆瓣电影标签：爱情	"
                        太空旅客
                        / 太空潜航者(港) / 星际过客(台)
"	2017	6.9	103195
豆瓣电影标签：爱情	"
                        甜蜜蜜
                        / Comrades: Almost a Love Story
"	2015	8.7	223710
豆瓣电影标签：爱情	"
                        请回答1988
                        / 回应吧1988 / Reply 1988
"	2015	9.6	136167
豆瓣电影标签：爱情	"
                        西西里的美丽传说
                        / 真爱伴我行(台) / 玛莲娜
"	2000	8.7	330922
豆瓣电影标签：爱情	"
                        花样年华
                        / In the Mood for Love
"	2000	8.5	230032
豆瓣电影标签：爱情	"
                        我命中注定的人
                        / 真命天菜(台) / 命中注定你爱我(台)
"	2017	7.5	10276
豆瓣电影标签：爱情	"
                        爱在日落黄昏时
                        / 日落巴黎(港) / 爱在日落巴黎时(台)
"	2004	8.7	189499
豆瓣电影标签：爱情	"
                        哈尔的移动城堡
                        / 呼啸山城 / 霍尔的移动城堡
"	2004	8.8	336989
豆瓣电影标签：爱情	"
                        月色真美
                    "	2017	9.1	4976
豆瓣电影标签：爱情	"
                        喜剧之王
                        / King of Comedy
"	1999	8.5	287502
豆瓣电影标签：爱情	"
                        断背山
                        / 断臂山
"	2006	8.6	304033
豆瓣电影标签：爱情	"
                        色，戒
                        / 色|戒 / 色·戒
"	2007	8.1	230096
豆瓣电影标签：爱情	"
                        秒速5厘米
                        / 秒速五厘米 / 秒速5公分
"	2007	8.3	274313
豆瓣电影标签：爱情	"
                        春光乍泄
                        / 一起快乐 / Happy Together
"	1997	8.8	233122
豆瓣电影标签：爱情	"
                        春娇与志明
                        / 志明与春娇2 / Love in The Buff
"	2012	7.3	257690
豆瓣电影标签：爱情	"
                        两小无猜
                        / 敢爱就来 / 宝贝游戏
"	2003	8.1	303800
豆瓣电影标签：爱情	"
                        遇见你之前
                        / 我就要你好好的(台) / 温暖的遇见你
"	2016	7.5	86565
豆瓣电影标签：爱情	"
                        本杰明·巴顿奇事
                        / 奇幻逆缘(港) / 返老还童
"	2008	8.7	379885
豆瓣电影标签：爱情	"
                        嫌疑人X的献身
                        / The Devotion of Suspect X / Suspect X
"	2017	6.5	116331
豆瓣电影标签：爱情	"
                        真爱至上
                        / 爱是您，爱是我(台) / 真的恋爱了(港)
"	2003	8.5	295676
豆瓣电影标签：爱情	"
                        阿甘正传
                        / 福雷斯特·冈普
"	1994	9.4	693041
豆瓣电影标签：爱情	"
                        我的少女时代
                        / Our Times
"	2015	7.8	268098
豆瓣电影标签：爱情	"
                        一天
                        / 真爱挑日子(台) / 情约1天(港)
"	2011	7.8	271887
豆瓣电影标签：爱情	"
                        绝世高手
                        / 绝世高手之料理铁人 / The One
"	2017	6.6	25906
豆瓣电影标签：爱情	"
                        飞屋环游记
                        / 冲天救兵(港) / 天外奇迹(台)
"	2009	8.9	486956
豆瓣电影标签：爱情	"
                        消失的爱人
                        / 失踪的女孩 / 失踪女孩
"	2014	8.7	330695
豆瓣电影标签：爱情	"
                        和莎莫的500天
                        / 心跳(500)天(港) / 恋夏(500日)(台)
"	2009	8	298518
豆瓣电影标签：爱情	"
                        倩女幽魂
                        / 倩女幽魂(87版) / A Chinese Ghost Story
"	2011	8.6	233243
豆瓣电影标签：爱情	"
                        三生三世十里桃花
                        / 三生三世十里桃花电视剧版 / To the Sky Kingdom
"	2017	6.4	83364
豆瓣电影标签：爱情	"
                        从你的全世界路过
                        / I Belonged to You
"	2016	5.3	151360
豆瓣电影标签：爱情	"
                        爱你，罗茜
                        / 亲爱的，原来是你(港) / 真爱绕圈圈(台)
"	2014	7.3	40862
豆瓣电影标签：爱情	"
                        救僵清道夫
                        / 尸奔日记 / Vampire Cleanup Department
"	2017	5.3	3960
豆瓣电影标签：爱情	"
                        那些年，我们一起追的女孩
                        / You Are the Apple of My Eye
"	2012	8.1	481934
豆瓣电影标签：爱情	"
                        他其实没那么喜欢你
                        / 其实你不懂他的心 / 收错爱情风
"	2009	7.7	264468
豆瓣电影标签：爱情	"
                        完美陌生人
                        / 完美谎情(港) / 波动的信息分享
"	2016	8.6	132359
豆瓣电影标签：爱情	"
                        微微一笑很倾城
                        / 微微一笑很倾城电视剧版 / Love O2O
"	2016	6.3	69257
豆瓣电影标签：爱情	"
                        三傻大闹宝莱坞
                        / 三个傻瓜(台) / 作死不离3兄弟(港)
"	2011	9.1	657285
豆瓣电影标签：爱情	"
                        爱在午夜降临前
                        / 爱在午夜希腊时(台) / 情约半生(港)
"	2013	8.7	105111
豆瓣电影标签：爱情	"
                        她
                        / 云端情人(台) / 触不到的她(港)
"	2014	8.3	212063
豆瓣电影标签：爱情	"
                        小姐
                        / 下女诱罪(港) / 下女的诱惑(台)
"	2016	7.9	98231
豆瓣电影标签：爱情	"
                        一夜到永远？
                    "	2015	7.6	1203
豆瓣电影标签：爱情	"
                        羞耻 第三季
                    "	2016	9.5	26286
豆瓣电影标签：爱情	"
                        再次出发之纽约遇见你
                        / 再次出发 / 歌曲改变人生
"	2015	8.5	152788
豆瓣电影标签：爱情	"
                        朗读者
                        / 为爱朗读(台) / 读爱(港)
"	2009	8.5	266401
豆瓣电影标签：爱情	"
                        青蛇
                        / Green Snake
"	1993	8.4	203320
豆瓣电影标签：爱情	"
                        我的个神啊
                        / 外星醉汉PK地球神 / 来自星星的傻瓜PK(台)
"	2015	8.3	163077
豆瓣电影标签：爱情	"
                        最好的我们
                        / With You
"	2016	8.7	49672
豆瓣电影标签：爱情	"
                        一树梨花压海棠
                        / 洛丽塔 / 禁忌情迷
"	1997	8	83319
豆瓣电影标签：爱情	"
                        侧耳倾听
                        / 心之谷 / 梦幻街少女
"	1995	8.8	159032
豆瓣电影标签：爱情	"
                        美丽心灵
                        / 有你终生美丽(港) / 美丽境界(台)
"	2002	8.9	296684
豆瓣电影标签：爱情	"
                        不能说的秘密
                        / Secret
"	2007	7.6	239426
豆瓣电影标签：爱情	"
                        声之形
                        / The Shape of Voice / Koe no katachi
"	2016	7.7	8829
豆瓣电影标签：爱情	"
                        言叶之庭
                        / 言语之庭 / 语言之庭
"	2013	8.1	108336
豆瓣电影标签：爱情	"
                        沉静如海
                        / 海的沉默 / The Silence of the Sea
"	2004	9	25792
豆瓣电影标签：爱情	"
                        了不起的盖茨比
                        / 大亨小传(港/台)
"	2013	7.7	253256
豆瓣电影标签：爱情	"
                        萤火之森
                        / 萤火之社 / Hotarubi no mori e
"	2011	8.7	144605
豆瓣电影标签：爱情	"
                        暖暖内含光
                        / 暧暧内含光 / 美丽心灵的永恒阳光
"	2004	8.4	135443
豆瓣电影标签：爱情	"
                        夏洛特烦恼
                        / Goodbye Mr. Loser
"	2015	7.4	335928
豆瓣电影标签：爱情	"
                        五十度黑
                        / 格雷的五十道色戒2(港) / 格雷的五十道阴影：束缚(台)
"	2017	4.8	18933
豆瓣电影标签：爱情	"
                        廊桥遗梦
                        / 麦迪逊之桥(港/台)
"	1995	8.5	91131
豆瓣电影标签：爱情	"
                        诺丁山
                        / 摘星奇缘(港) / 新娘百分百(台)
"	1999	7.9	180423
豆瓣电影标签：爱情	"
                        独自等待
                        / Waiting Alone
"	2005	8.1	139608
豆瓣电影标签：爱情	"
                        蓝色大门
                        / Blue Gate Crossing / 蓝色大门
"	2002	8.3	259969
豆瓣电影标签：爱情	"
                        情人
                        / The Lover
"	1992	8.1	88263
豆瓣电影标签：爱情	"
                        卡罗尔
                        / 因为爱你(台) / 卡露的情人(港)
"	2016	8.2	120610
豆瓣电影标签：爱情	"
                        魂断蓝桥
                        / 滑铁卢桥 / 断桥残梦
"	1940	8.8	123914
豆瓣电影标签：爱情	"
                        曾经
                        / 一奏倾情(港) / 曾经。爱是唯一(台)
"	2007	8.3	193100
豆瓣电影标签：爱情	"
                        寒武纪
                        / Cambrian Period
"	2017	6.6	3356
豆瓣电影标签：爱情	"
                        赎罪
                        / 爱．诱．罪(港/台) / 救赎
"	2007	8.2	136257
豆瓣电影标签：爱情	"
                        被嫌弃的松子的一生
                        / 花样奇缘(港) / 令人讨厌的松子的一生(台)
"	2006	8.9	268973
豆瓣电影标签：爱情	"
                        哥哥太爱我了怎么办
                        / 哥哥太爱我了怎么办 电视剧版
"	2017	7	9447
豆瓣电影标签：爱情	"
                        初恋50次
                        / 初恋五十次 / 50次初恋
"	2004	7.9	191033
豆瓣电影标签：爱情	"
                        昼颜：工作日下午3点的恋人们
                        / 昼颜：平日午后3时的恋人们 / 午后人妻
"	2014	8.6	80264
豆瓣电影标签：爱情	"
                        穿越时空的少女
                        / 跳跃吧！时空少女(台) / Toki o kakeru sh?jo
"	2006	8.6	176289
豆瓣电影标签：爱情	"
                        他是龙
                        / 他是拽蚣(豆友译名) / On - drakon
"	2016	7.4	87613
豆瓣电影标签：爱情	"
                        太阳的后裔
                        / Descendants of the Sun
"	2016	7.6	83461
豆瓣电影标签：爱情	"
                        六人晚餐
                        / Youth Dinner
"	2017	5.5	1486
豆瓣电影标签：爱情	"
                        昼颜 电影版
                        / Hirugao / Hirugao: Love Affairs in the Afternoon
"	2017	7	846
豆瓣电影标签：爱情	"
                        暮光之城
                        / 暮色 / 吸血新世纪(港)
"	2009	7.3	264847
豆瓣电影标签：爱情	"
                        卡萨布兰卡
                        / 北非谍影(港) / 卡萨布兰卡
"	1943	8.6	117042
豆瓣电影标签：爱情	"
                        阿黛尔的生活
                        / 接近无限温暖的蓝(港) / 蓝色是最温暖的颜色(台)
"	2013	8.3	95512
豆瓣电影标签：爱情	"
                        28岁未成年
                        / 二十八岁未成年 / Suddenly Seventeen
"	2016	5.7	49869
豆瓣电影标签：爱情	"
                        听说
                        / Hear Me / 听说
"	2015	8.1	270224
豆瓣电影标签：爱情	"
                        逃避虽可耻但有用
                        / 雇佣妻子(港) / 月薪娇妻(台)
"	2016	8.3	47708
