time,score,people
2017,8.6,115141
2016,8.1,5384
1967,8.2,22041
2003,8.2,53868
1996,9.1,39647
2005,8.4,83345
2012,6.5,60364
2016,8.3,6049
2014,8.1,62211
2014,6.3,28836
2014,7.7,1899
1999,8.2,59571
2010,8.6,294037
1967,7.9,109852
1934,8.7,22972
2015,7.7,268641
2007,8.1,107537
2007,8.1,48749
2007,7.9,312317
2011,8.9,120552
2010,6.4,102423
1987,8.7,23911
2012,8.2,69083
1990,8.0,26761
2006,7.6,101564
2013,7.1,340624
2015,8.4,6887
2013,5.6,123049
2017,8.1,562
1995,8.8,288463
2005,8.5,2717
2009,8.4,64906
2016,7.5,147194
2016,8.0,90111
2017,7.4,27742
2015,4.9,108856
2014,8.3,66142
2014,8.4,10476
2015,8.8,34831
2016,7.6,13214
2017,9.1,16993
1995,8.7,259278
2011,7.7,62559
2014,7.1,158737
1998,7.9,115322
2016,7.6,642
2016,7.2,56494
2012,8.7,205094
2014,5.0,171111
2016,5.0,19811
2010,6.5,222456
2012,9.1,56253
2010,7.7,64515
2016,7.6,13200
2014,7.1,94558
2015,6.5,46147
2011,7.6,35688
1993,8.8,129125
2007,7.6,46869
2001,7.3,32478
2015,7.5,57898
2011,6.8,215817
2014,8.9,15610
1993,9.0,76201
2017,7.1,6462
2015,3.6,90368
1993,7.8,27661
1992,7.7,94603
2004,8.7,367700
2012,7.8,8429
2010,8.1,112047
2004,8.1,135654
2015,4.3,40296
2017,4.0,19414
2011,8.1,85266
2012,6.9,171694
2016,8.2,6528
2017,4.4,8664
2005,8.3,57411
1990,7.7,64025
2012,7.5,76206
2013,7.4,58979
2013,8.3,136721
2013,8.7,29106
2017,3.8,2634
2016,7.7,7980
2017,5.9,696
2006,8.3,118009
2012,8.4,169609
2013,4.9,133291
2012,8.5,46807
2012,7.3,211380
1987,8.5,34725
2002,6.7,120060
2017,,
2017,7.4,5349
2014,6.1,113188
2003,7.7,72809
1994,8.4,49934
2002,8.6,52453
1998,7.8,70579
1994,8.3,43360
2003,8.1,30255
2014,8.8,19000
2016,7.4,47827
1995,8.1,34715
2001,6.7,97079
2013,8.5,57972
2001,7.5,169478
2015,4.6,84992
2017,3.6,1685
1998,8.2,73599
2016,5.3,12370
2000,7.8,58761
2005,7.5,85480
2015,5.6,49595
2013,8.4,81652
2015,7.5,194010
2017,,
1994,8.7,56367
1999,8.4,172711
2016,7.3,670
2014,8.0,26114
1995,9.2,77884
2009,7.4,38212
2008,8.6,13323
2016,7.3,379
2007,7.5,63694
2006,7.1,101262
2006,7.8,75781
2005,7.5,85575
2015,8.6,36037
2017,6.3,6802
2009,7.6,64691
2012,8.2,39679
2012,6.2,80540
2017,7.4,1654
1988,8.1,46138
2016,4.7,43228
2009,7.1,106279
2011,7.6,18416
2005,8.9,48098
1993,8.4,64641
1959,8.8,19338
2000,7.8,64220
2015,5.9,33919
2012,5.9,158019
2010,7.7,59911
2014,8.9,6077
2004,9.2,36254
2012,8.6,50038
2014,5.9,25232
2012,8.4,70515
2017,5.6,559
2014,7.4,39091
2012,7.0,184050
2000,8.5,45887
2017,6.0,2827
1993,8.3,39369
2001,7.0,50049
2016,7.5,5475
2010,8.3,63229
2017,6.9,46137
2014,5.1,69589
1955,8.5,71109
2004,7.9,78431
2007,8.0,176246
2004,8.1,49096
1946,9.2,31047
2016,8.3,13169
1960,8.7,15119
2015,5.8,94146
2015,6.4,7563
2015,6.2,51429
1999,8.6,21201
2010,7.6,62588
2009,8.9,226946
2017,5.2,1381
2012,8.3,72118
1992,8.1,76455
1999,8.6,58456
2017,5.2,963
2013,6.2,59120
2002,7.0,115105
2015,4.1,80557
2017,6.7,419
2011,6.8,115235
2016,6.8,16386
1991,8.5,57062
2009,7.4,44582
1964,8.0,44911
1998,7.8,40306
1993,8.2,27944
2016,5.1,41526
2004,8.0,68299
2014,5.8,116278
2016,8.9,8126
2013,8.3,7264
2016,4.1,5621
2015,6.4,33743
1992,7.9,52821
1995,7.8,55257
2009,8.1,14781
2016,8.6,13759
2006,8.0,93507
1987,9.5,57847
1931,9.2,39456
1994,7.4,69881
1994,7.7,17438
2011,7.3,48870
2017,4.7,2224
2006,7.7,74621
2017,,
2016,8.0,17797
2017,5.5,3959
2014,7.4,173334
2017,6.9,8818
2009,8.3,119605
2016,7.4,4909
2015,7.7,11616
1999,7.8,12226
2002,7.2,78804
2017,8.4,7230
2005,4.8,103381
2014,5.5,72547
1940,8.2,32921
1988,8.8,11901
1986,7.4,19019
1957,9.6,79413
2002,7.0,33147
2015,6.0,58367
2017,,
2002,7.6,54906
1988,8.7,104141
2016,7.4,59329
2011,4.4,85260
2009,7.2,141316
2001,7.9,161910
2011,7.4,42850
1995,7.0,1734
2013,4.8,38681
2015,7.3,7762
1962,8.4,19689
2017,5.6,3024
2010,8.3,27918
2016,7.2,865
2016,7.5,697
2004,8.5,103796
2017,7.8,6275
1999,7.7,26139
2012,7.4,27909
2011,5.9,90636
2017,5.8,3503
2016,4.8,27713
2017,5.7,735
2007,7.4,42809
2016,5.6,12790
1998,8.1,146864
1993,7.7,42473
1991,8.2,25436
2007,8.1,32422
1990,8.2,27322
2012,3.2,982
1986,8.9,34815
2014,5.6,88732
2012,7.8,16443
1993,8.6,78428
2006,7.6,4429
2009,7.5,55100
2002,7.9,33825
2011,8.4,214254
2009,7.7,87655
2016,8.7,16998
2017,7.3,3527
2010,7.3,75913
2010,6.3,200607
2012,7.5,67755
2015,6.5,37871
2013,8.5,204422
1991,8.1,26020
2004,6.7,66754
1993,7.8,15238
2004,8.5,22487
2010,5.6,171958
1991,7.3,44520
2017,9.1,1364
2016,6.4,6752
2008,8.2,167778
2001,7.5,40597
2015,7.2,23783
2004,7.2,62644
1985,8.5,51347
2016,4.7,10769
2016,8.2,16988
2017,5.3,1472
2015,5.3,368
2009,8.8,39120
2011,6.0,44210
2013,7.3,17514
2017,8.5,478
2003,7.3,40343
2017,6.7,3312
1997,7.7,36469
1994,7.8,22225
2000,8.0,30812
2016,7.3,29854
1998,7.9,41608
2012,7.4,25655
2014,7.7,77134
2003,7.4,30439
2007,7.9,32676
2011,6.6,76505
1993,8.1,46559
2016,7.6,17532
2016,8.0,15475
2016,8.7,9555
2017,6.1,1101
2010,5.9,97694
2010,7.3,17324
1998,8.5,34810
1998,7.9,48913
2012,7.1,47882
2000,6.8,32849
2015,6.8,9775
2016,6.1,2595
2017,6.7,8345
2017,9.2,1332
2017,5.6,208665
2004,8.7,55967
2006,7.2,99387
1986,7.7,29645
2017,6.3,2556
2008,7.7,31792
2015,5.7,205253
2001,7.4,48041
2017,6.4,1819
2017,7.2,12888
2016,5.2,3959
2007,7.4,22529
2013,7.1,37353
2017,7.8,1027
2009,7.9,122651
2012,7.5,124405
2013,7.1,12718
2008,8.1,859
2011,7.9,58944
